iter	loss_d	loss_g	D_x	D_G_z1	D_G_z2
1	1.44602	11.51756	0.49181	0.51122	0.0
101	1.09484	7.85618	0.71296	0.2007	0.00354
201	1.13995	6.62347	0.74949	0.18377	0.00525
301	1.1294	7.36986	0.74329	0.18666	0.00297
401	1.04492	6.96302	0.81914	0.15011	0.00243
501	0.90663	6.83429	0.82222	0.15572	0.0031
601	0.90072	8.7064	0.83277	0.11617	0.00298
701	0.66159	5.46267	0.85304	0.12838	0.00747
801	0.56109	3.65217	0.82419	0.11253	0.03049
901	0.5001	3.72133	0.84417	0.07486	0.0328
1001	0.3775	3.59214	0.8691	0.0305	0.02003
1101	0.41178	3.72015	0.86674	0.03701	0.02461
1201	0.52016	3.71988	0.83702	0.07167	0.03192
1301	0.50293	3.38435	0.8283	0.07358	0.04415
1401	0.47545	3.83184	0.87016	0.06622	0.02577
1501	0.7348	3.51818	0.799	0.11086	0.06159
1601	0.68477	3.73271	0.80159	0.07723	0.04953
1701	0.57774	3.95225	0.82503	0.09188	0.0293
1801	0.63656	4.20345	0.79871	0.10835	0.03201
1901	0.85655	3.59743	0.75186	0.12358	0.0569
2001	0.8806	1.60934	0.64027	0.08616	0.41943
2101	0.66138	3.31053	0.77481	0.11523	0.10536
2201	0.72671	3.16226	0.74956	0.14272	0.07454
2301	0.6525	3.3971	0.78735	0.11754	0.06161
2401	0.7456	2.79612	0.73063	0.12772	0.12796
2501	0.66161	3.14087	0.77543	0.12313	0.07262
2601	0.7717	2.92178	0.74056	0.1522	0.09617
2701	0.68127	3.28429	0.78886	0.12819	0.07497
2801	0.85597	2.9218	0.72981	0.17056	0.09401
2901	0.77388	2.94637	0.74299	0.16197	0.09537
3001	0.49199	2.78476	0.81266	0.08864	0.0604
3101	0.64945	3.07645	0.7725	0.13203	0.07901
3201	0.82546	3.00576	0.7314	0.16655	0.09328
3301	0.77715	3.00975	0.7441	0.15395	0.0874
3401	0.8547	2.66465	0.66514	0.11766	0.14913
3501	0.75682	3.02088	0.73332	0.1519	0.08557
3601	0.76608	2.96815	0.73637	0.16059	0.09377
3701	0.68404	3.20241	0.79206	0.11811	0.06694
3801	0.80208	3.1444	0.74869	0.14858	0.08874
3901	0.69578	3.16365	0.76878	0.13315	0.07974
4001	1.15571	2.6697	0.41089	0.06803	0.08922
4101	0.83833	3.01315	0.68448	0.15297	0.07572
4201	0.63144	3.22407	0.78291	0.11584	0.07006
4301	0.67218	3.10878	0.76955	0.1216	0.08778
4401	0.69884	3.31622	0.78083	0.14188	0.07344
4501	0.69826	3.14618	0.76869	0.13508	0.08262
4601	0.60918	3.25717	0.78922	0.10937	0.06407
4701	0.54862	3.0328	0.797	0.08204	0.07037
4801	0.77359	3.32654	0.75514	0.14191	0.07788
4901	0.74999	3.18091	0.75306	0.14187	0.08831
5001	0.60522	2.056	0.65332	0.03599	0.19193
5101	0.66023	3.13992	0.76616	0.10615	0.09048
5201	0.67098	3.25146	0.77624	0.12053	0.08292
5301	0.61712	3.27684	0.79305	0.10952	0.06788
5401	0.64549	3.02033	0.74675	0.10927	0.07736
5501	0.68465	3.32967	0.77212	0.12326	0.08508
5601	0.79586	3.19236	0.74925	0.1477	0.09346
5701	0.69818	3.6891	0.81184	0.14848	0.06393
5801	0.65839	3.39841	0.79125	0.11729	0.07401
5901	0.60383	3.19544	0.79418	0.10562	0.07206
6001	0.59566	3.99691	0.88702	0.12774	0.03903
6101	0.63615	3.3301	0.79549	0.11931	0.07711
6201	0.60534	3.28538	0.79366	0.11003	0.06737
6301	0.76853	3.1446	0.75204	0.14632	0.07646
6401	0.68414	2.82112	0.7539	0.12519	0.09235
6501	0.55915	3.06781	0.79945	0.09488	0.06927
6601	0.6466	3.18886	0.78879	0.11014	0.07407
6701	0.57897	2.93677	0.79962	0.12228	0.06805
6801	0.54416	3.23868	0.8119	0.09077	0.06083
6901	0.62028	3.23883	0.7912	0.1088	0.06574
7001	0.74903	5.0013	0.90186	0.25176	0.02614
7101	0.61217	3.45869	0.81259	0.12223	0.0595
7201	0.538	3.37822	0.82097	0.08367	0.05491
7301	0.63611	3.67906	0.80719	0.09338	0.0581
7401	0.48119	3.21777	0.81779	0.06192	0.05044
7501	0.55483	3.22959	0.81007	0.08687	0.0597
7601	0.55392	3.26433	0.81804	0.08168	0.05771
7701	0.52855	3.75473	0.84965	0.08336	0.04911
7801	0.45194	3.58616	0.85284	0.05208	0.04033
7901	0.4244	3.7047	0.85954	0.03992	0.03186
8001	0.4987	3.86873	0.9035	0.10565	0.02264
8101	0.55367	3.46893	0.82698	0.08757	0.05348
8201	0.43956	3.54647	0.85388	0.04811	0.03568
8301	0.48409	3.84788	0.95012	0.10499	0.01728
8401	0.4185	3.92727	0.87771	0.04086	0.0242
8501	0.42325	3.87398	0.86423	0.03695	0.02935
8601	0.4209	3.8916	0.86628	0.0364	0.02589
8701	0.6705	3.9809	0.83037	0.05793	0.06532
8801	0.52636	3.64602	0.83479	0.06597	0.04154
8901	0.42696	3.73743	0.86208	0.03871	0.0297
9001	0.39848	3.65136	0.86047	0.03807	0.02352
9101	0.42652	3.83508	0.86544	0.03512	0.02659
9201	0.39485	3.92887	0.87406	0.02643	0.02071
9301	0.4006	4.63843	0.95184	0.03181	0.00669
9401	0.3951	4.26314	0.88934	0.02351	0.01576
9501	0.7084	4.01407	0.80831	0.09319	0.05749
9601	0.4428	3.77681	0.8604	0.04025	0.02807
9701	0.37577	4.10994	0.90095	0.02071	0.01385
9801	0.37088	4.0879	0.88392	0.01808	0.01489
9901	0.37402	4.20891	0.88269	0.01795	0.01388
10001	0.36388	4.31644	0.88625	0.01666	0.01074
10101	0.37565	4.31726	0.883	0.01426	0.01314
